file,orig_bytes,compressed_bytes
0327a3dfbc13.jpg,883848,233234
0d59455b6816.jpg,1947775,246858
17661dc4830a.jpg,759424,126706
1afe43af7335.jpg,102509,126648
2adc88900893.jpg,69694,171356
2dd467cdb83e.jpg,154641,199200
337f70bcceb6.jpg,62499,113904
3a1c65b6443b.jpg,62077,89574
408dd139b192.jpg,59385,87254
434edcfbb122.jpg,375606,185322
453852e5f8ed.jpg,93852,132110
4c212b4eafe0.jpg,81099,109392
525add0a2310.jpg,6565,21874
561728027b25.jpg,946785,147320
56b31c59d8f2.webp,161178,160084
592535dcad9b.jpg,77041,112336
5ccb267cebbd.jpg,156297,86252
5ce67ee7f590.jpg,110002,102762
5eff03539624.jpg,114035,156786
6039250dba11.jpg,27736,55930
63a130cdd822.jpg,60031,95588
67c6ddc54876.png,41784,17504
69312cced0f7.jpg,158355,192144
6bc138a6f814.jpg,62317,118778
6d58fbf7426f.jpg,62556,101450
76169913ec9b.png,49306,19770
77de877235dd.jpg,62102,114426
791af68c7e95.jpg,31076,69838
7b8a294cec12.jpg,40004,83802
8570074a8eba.jpg,29608,101260
8cdf481eecd5.jpeg,64261,199766
9013e0172c04.jpg,316765,87542
9062cd2e45a4.jpg,44717,89946
9396f1312bdf.png,360604,234234
93c3d1600ce4.jpg,74976,152878
943b67a589d6.jpg,163310,108538
96bb67af94c8.jpg,78275,107054
97cc67d5f990.jpg,29875,76452
af01adfdec17.jpg,153438,239392
ak107_3.jpg,7604,17318
ak200_site2.jpg,252686,89446
ak74.jpg,136021,185810
ak74m-d019134-3kh2-13363-1080.jpg,65462,110248
ak9_1.jpg,11588,25058
ak9_2.jpg,15674,35058
ak9_3.jpg,318688,99920
b1e182d0525b.jpg,73334,177608
b24a62f626f6.jpg,91318,128340
b3a26ee31ab0.jpg,40974,139790
b7e9f5216dc0.jpg,129508,153594
bbca39a23588.webp,189346,188696
bdef73395a5c.jpg,258182,92660
beef739a2df4.jpg,40749,57316
c265e210d2b8.jpg,74927,113108
c4c6bf157a25.jpg,116822,110880
c542689b9604.jpg,409653,83138
c78c516cdce5.webp,250532,249884
d027f79b0daf.jpg,12462,45652
d25aeafcda2c.jpg,52793,93380
d57980d16305.jpeg,154183,121248
d748d0630b24.jpg,71104,136954
e04ae6393081.jpg,91964,131308
e169e82b5999.jpg,110554,96948
e294db3fea91.jpg,83366,112810
e3cc9a352d43.jpg,362974,146396
e762141350cb.jpg,127495,115560
f3cd3349b3cc.jpg,373113,249722
f4fad21fba6b.jpg,92809,142240
fa53db25804f.jpg,93913,62228
image1.png,134933,59540
image10.png,2534964,240060
image11.png,423478,91486
image12.png,344229,141796
image13.png,1651409,252404
image2.png,397319,83540
image3.png,131944,49596
image5.png,348071,84994
image6.png,132323,53500
image7.png,230035,141796
image9.png,393691,85328
